"timestamp","event_name","event_detail","task","age","gender","occupation","education","nationality","confidence","paper_maps","computer_maps","mobile_maps","device_by_url","userId","screenResolution","viewportSize","browser","browserVersion","device","os","orientation","ip"
"113590","movestart","39.03520386995158, -96.83884699999999","02A-v1","21","female","student","no","German","neutral","rarely","sometimes","very-often","desktop","8dft2wh1wj","1280x720","1280x585","Chrome","136.0","desktop","Windows","landscape-primary","84.133.44.94"
"113852","zoom in","14","02A-v1","21","female","student","no","German","neutral","rarely","sometimes","very-often","desktop","8dft2wh1wj","1280x720","1280x585","Chrome","136.0","desktop","Windows","landscape-primary","84.133.44.94"
"113853","moveend","39.03216558344744, -96.84585571289064","02A-v1","21","female","student","no","German","neutral","rarely","sometimes","very-often","desktop","8dft2wh1wj","1280x720","1280x585","Chrome","136.0","desktop","Windows","landscape-primary","84.133.44.94"
"113919","movestart","39.03216558344744, -96.84585571289064","02A-v1","21","female","student","no","German","neutral","rarely","sometimes","very-often","desktop","8dft2wh1wj","1280x720","1280x585","Chrome","136.0","desktop","Windows","landscape-primary","84.133.44.94"
"114177","zoom in","15","02A-v1","21","female","student","no","German","neutral","rarely","sometimes","very-often","desktop","8dft2wh1wj","1280x720","1280x585","Chrome","136.0","desktop","Windows","landscape-primary","84.133.44.94"
"114179","moveend","39.03060899101606, -96.84937477111818","02A-v1","21","female","student","no","German","neutral","rarely","sometimes","very-often","desktop","8dft2wh1wj","1280x720","1280x585","Chrome","136.0","desktop","Windows","landscape-primary","84.133.44.94"
"114303","movestart","39.03060899101606, -96.84937477111818","02A-v1","21","female","student","no","German","neutral","rarely","sometimes","very-often","desktop","8dft2wh1wj","1280x720","1280x585","Chrome","136.0","desktop","Windows","landscape-primary","84.133.44.94"
"114567","zoom in","16","02A-v1","21","female","student","no","German","neutral","rarely","sometimes","very-often","desktop","8dft2wh1wj","1280x720","1280x585","Chrome","136.0","desktop","Windows","landscape-primary","84.133.44.94"
"114569","moveend","39.02983068194418, -96.85113430023195","02A-v1","21","female","student","no","German","neutral","rarely","sometimes","very-often","desktop","8dft2wh1wj","1280x720","1280x585","Chrome","136.0","desktop","Windows","landscape-primary","84.133.44.94"
"115107","movestart","39.02983068194418, -96.85113430023195","02A-v1","21","female","student","no","German","neutral","rarely","sometimes","very-often","desktop","8dft2wh1wj","1280x720","1280x585","Chrome","136.0","desktop","Windows","landscape-primary","84.133.44.94"
"115361","zoom out","15","02A-v1","21","female","student","no","German","neutral","rarely","sometimes","very-often","desktop","8dft2wh1wj","1280x720","1280x585","Chrome","136.0","desktop","Windows","landscape-primary","84.133.44.94"
"115363","moveend","39.0309658339729, -96.84911727905275","02A-v1","21","female","student","no","German","neutral","rarely","sometimes","very-often","desktop","8dft2wh1wj","1280x720","1280x585","Chrome","136.0","desktop","Windows","landscape-primary","84.133.44.94"
"115890","movestart","39.0309658339729, -96.84911727905275","02A-v1","21","female","student","no","German","neutral","rarely","sometimes","very-often","desktop","8dft2wh1wj","1280x720","1280x585","Chrome","136.0","desktop","Windows","landscape-primary","84.133.44.94"
"116144","zoom out","14","02A-v1","21","female","student","no","German","neutral","rarely","sometimes","very-often","desktop","8dft2wh1wj","1280x720","1280x585","Chrome","136.0","desktop","Windows","landscape-primary","84.133.44.94"
